referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
14,"Território, municípios e população",localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0
15,"Território, municípios e população",localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,url_exata,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1
16,Localidades indígenas e quilombolas,localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,regra_curada,alta,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_indigenas_2022
17,Localidades indígenas e quilombolas,localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,regra_curada,alta,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_quilombolas_2022
18,Localidades indígenas e quilombolas,localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,regra_curada,alta,https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes
18,Localidades indígenas e quilombolas,localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,regra_curada,alta,https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes
19,Localidades indígenas e quilombolas,localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,regra_curada,alta,https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf
19,Localidades indígenas e quilombolas,rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,regra_curada,alta,https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf
20,Educação,escolas,Escolas do Censo Escolar,educacao,regra_curada,alta,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas
21,Educação,escolas,Escolas do Censo Escolar,educacao,regra_curada,alta,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/censo-escolar
22,Educação,escolas,Escolas do Censo Escolar,educacao,url_exata,alta,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip
23,Infraestrutura viária e hidrografia,rodovias_estaduais,Rodovias estaduais,infra,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/8
24,Infraestrutura viária e hidrografia,rodovias_federais,Rodovias federais,infra,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/9
25,Infraestrutura viária e hidrografia,estradas_vicinais,Estradas vicinais,infra,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/11
26,Infraestrutura viária e hidrografia,rodovias_estaduais,Rodovias estaduais,infra,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer
26,Infraestrutura viária e hidrografia,rodovias_federais,Rodovias federais,infra,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer
27,Infraestrutura viária e hidrografia,estradas_vicinais,Estradas vicinais,infra,url_exata,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0
